"date","time","ID1","behavior"
"24/11/2017","14:28:48","Raimee","manipulate-feces"
"24/11/2017","14:46:31","Jing","manipulate-feces"
"24/11/2017","13:41:48","Tesua","manipulate-feces"
"24/11/2017","14:51:08","Roosje","manipulate-feces"
"24/11/2017","14:51:33","Fons","manipulate-feces"
"24/11/2017","14:52:33","Fons","manipulate-feces"
"24/11/2017","14:54:59","Moniek","manipulate-feces"
"27/11/2017","14:32:50","Raimee","manipulate-feces"
"27/11/2017","14:38:18","Gaby","manipulate-feces"
"27/11/2017","14:53:27","Raimee","manipulate-feces"
"27/11/2017","14:54:30","Raimee","manipulate-feces"
"27/11/2017","14:54:52","Roosje","manipulate-feces"
"27/11/2017","15:03:38","Erika","manipulate-feces"
"27/11/2017","15:06:14","Jing","manipulate-feces"
"27/11/2017","15:11:59","Jing","manipulate-feces"
"24/11/2017","14:48:02","Tesua","manipulate-feces"
"27/11/2017","15:41:04","Gaby","manipulate-feces"
"27/11/2017","15:53:11","Moniek","manipulate-feces"
"28/11/2017","13:47:45","Gaby","manipulate-feces"
"30/11/2017","11:19:13","Jing","manipulate-feces"
"30/11/2017","11:39:46","Raimee","manipulate-feces"
"30/11/2017","11:40:09","Roosje","manipulate-feces"
"30/11/2017","12:16:35","Fons","manipulate-feces"
"01/12/2017","10:58:05","Giambo","manipulate-feces"
"08/12/2017","13:18:16","Roosje","manipulate-feces"
"08/12/2017","13:21:09","Raimee","manipulate-feces"
"24/11/2017","13:44:16","Tesua","coprophagy"
"08/12/2017","13:24:17","Erika","manipulate-feces"
"08/12/2017","13:36:50","Fons","manipulate-feces"
"08/12/2017","13:37:30","Fons","manipulate-feces"
"08/12/2017","13:49:40","Gaby","manipulate-feces"
"11/12/2017","10:54:43","Fons","manipulate-feces"
"27/11/2017","15:28:04","Tesua","manipulate-feces"
"11/12/2017","11:22:04","Gaby","manipulate-feces"
"11/12/2017","11:29:39","Erika","manipulate-feces"
"11/12/2017","11:37:11","Fons","manipulate-feces"
"11/12/2017","11:37:21","Erika","manipulate-feces"
"11/12/2017","11:38:25","Raimee","manipulate-feces"
"11/12/2017","11:39:00","Roosje","manipulate-feces"
"11/12/2017","11:39:52","Giambo","manipulate-feces"
"11/12/2017","11:39:58","Raimee","manipulate-feces"
"11/12/2017","11:40:03","Ghineau","manipulate-feces"
"11/12/2017","11:41:22","Giambo","manipulate-feces"
